20,20,MED
45,20,MED
20,20,MED
20,20,MED
20,20,MED
20,20,MED
20,20,MED
20,20,MED
20,20,MED
20,20,MED
20,20,MED
20,20,MED
20,20,MED
20,20,MED
125,20,MED
20,20,MED
20,20,MED
20,20,MED
20,20,MED
20,20,MED
20,20,MED
20,20,MED
20,20,MED
20,20,MED
20,20,MED
20,20,MED
20,20,MED
20,20,MED
20,20,MED
20,20,MED
20,20,MED
20,46,MED
20,20,MED
20,20,MED
20,20,MED
20,20,MED
20,20,MED
20,20,MED
20,20,MED
231,20,MGL
45,20,MGL
112,20,MGL
205,20,MGL
335,20,MGL
110,20,MGL
20,20,MGL
204,20,RHB
322,20,RHB
20,20,RHB
20,20,RHB
20,20,RHB
120,20,RHB
158,33,RHB
20,20,EPD
20,25,EPD
29,20,EPD
83,20,EPD
62,20,EPD
20,20,EPD
257,22,EPD
285,26,EPD
341,20,EPD
381,44,EPD
924,155,JPA
1499,92,JPA
923,118,JPA
1358,115,JPA
1081,102,JPA
1120,119,JPA
