20,21,20,20,MED
45,54,20,20,MED
20,20,20,20,MED
20,31,20,20,MED
20,20,20,20,MED
20,20,20,20,MED
20,20,20,20,MED
20,20,20,20,MED
20,20,20,20,MED
20,20,20,20,MED
20,20,20,20,MED
20,20,20,20,MED
20,20,20,20,MED
20,20,20,20,MED
125,20,20,20,MED
20,20,20,20,MED
20,34,20,20,MED
20,20,20,20,MED
20,20,20,20,MED
20,20,20,20,MED
20,28,20,20,MED
20,20,20,20,MED
20,20,20,20,MED
20,20,20,20,MED
20,20,20,20,MED
20,20,20,20,MED
20,20,20,20,MED
20,20,20,20,MED
20,20,20,20,MED
20,20,20,20,MED
20,36,20,20,MED
20,20,46,20,MED
20,20,20,20,MED
20,20,20,20,MED
20,20,20,20,MED
20,20,20,20,MED
20,20,20,20,MED
20,20,20,20,MED
20,20,20,20,MED
231,36,20,20,MGL
45,98,20,20,MGL
112,40,20,20,MGL
205,99,20,20,MGL
335,63,20,20,MGL
110,44,20,20,MGL
20,84,20,20,MGL
204,194,20,20,RHB
322,20,20,20,RHB
20,20,20,20,RHB
20,20,20,20,RHB
20,20,20,20,RHB
120,20,20,20,RHB
158,20,33,22,RHB
20,20,20,20,EPD
20,33,25,20,EPD
29,62,20,20,EPD
83,23,20,20,EPD
62,27,20,20,EPD
20,26,20,20,EPD
257,24,22,20,EPD
285,114,26,20,EPD
341,141,20,20,EPD
381,89,44,34,EPD
924,329,155,128,JPA
1499,365,92,63,JPA
923,331,118,73,JPA
1358,396,115,102,JPA
1081,314,102,94,JPA
1120,293,119,92,JPA
