20,20,20,20,20,188,20,21,MED
45,23,20,20,20,131,20,54,MED
20,20,20,20,20,156,20,20,MED
20,20,20,20,20,198,20,31,MED
20,42,20,32,20,193,20,20,MED
20,98,20,20,20,171,20,20,MED
20,20,20,20,20,142,20,20,MED
20,20,20,20,20,67,20,20,MED
20,30,20,20,20,167,20,20,MED
20,20,20,20,20,41,20,20,MED
20,32,20,20,20,22,20,20,MED
20,29,20,20,20,62,20,20,MED
20,20,20,25,20,20,20,20,MED
20,20,20,20,20,20,20,20,MED
125,20,20,20,20,271,20,20,MED
20,21,20,20,20,98,20,20,MED
20,101,20,20,20,138,20,34,MED
20,20,20,20,20,121,20,20,MED
20,20,20,20,20,51,20,20,MED
20,35,20,20,20,197,20,20,MED
20,20,20,20,20,160,20,28,MED
20,20,20,20,20,88,20,20,MED
20,20,20,28,20,109,20,20,MED
20,20,20,20,20,20,20,20,MED
20,20,20,57,20,79,20,20,MED
20,20,20,20,20,74,20,20,MED
20,20,20,20,20,37,20,20,MED
20,20,20,20,20,35,20,20,MED
20,54,20,28,20,101,20,20,MED
20,20,20,22,20,112,20,20,MED
20,20,20,40,20,171,20,36,MED
20,20,20,22,46,218,20,20,MED
20,33,20,20,20,100,20,20,MED
20,20,20,26,20,101,20,20,MED
20,108,20,39,20,188,56,20,MED
20,25,20,20,20,132,20,20,MED
20,20,20,20,20,95,20,20,MED
20,81,20,28,20,169,20,20,MED
20,26,20,20,20,124,20,20,MED
231,20,20,21,20,321,85,36,MGL
45,82,20,20,20,581,115,98,MGL
112,334,20,23,20,481,74,40,MGL
205,27,20,24,20,438,43,99,MGL
335,70,20,58,20,493,81,63,MGL
110,20,20,21,20,656,116,44,MGL
20,43,20,28,20,270,101,84,MGL
204,20,20,20,20,292,20,194,RHB
322,20,20,20,20,336,20,20,RHB
20,20,20,20,20,41,20,20,RHB
20,20,20,20,20,94,20,20,RHB
20,20,20,26,20,79,20,20,RHB
120,20,20,60,20,245,20,20,RHB
158,20,22,20,33,50,20,20,RHB
20,21,20,20,20,710,20,20,EPD
20,20,20,20,25,885,20,33,EPD
29,20,20,20,20,580,20,62,EPD
83,20,20,22,20,403,20,23,EPD
62,20,20,20,20,504,20,27,EPD
20,20,20,20,20,441,20,26,EPD
257,20,20,20,22,579,20,24,EPD
285,99,20,31,26,935,108,114,EPD
341,20,20,20,20,876,20,141,EPD
381,30,34,20,44,498,23,89,EPD
924,564,128,261,155,932,333,329,JPA
1499,512,63,175,92,992,436,365,JPA
923,576,73,153,118,843,378,331,JPA
1358,689,102,192,115,859,303,396,JPA
1081,342,94,185,102,858,269,314,JPA
1120,394,92,121,119,826,159,293,JPA
